MÊS;Tipo;Responsável;Subgrupo OXR;Grupo OXR;Descrição Conta;Grupo Conta;Evento;Tipo Evento;Valor;Valor Final;Real x Orç;Orçado;Real;Lote;Documento;Mês Ref.;Filial;Lançamento;Data;DC;Conta Contábil;Classe;Valor2;Historico;Centro Custo;Nome C. Custo;Valor C.Custo;Origem;RH?;Estrutura;Coluna2;Coluna1;Conta
Jan;CUSTEIO;Cesar;UTILIDADES;CONSUMO DE UTILIDADES;COMBUSTÍVEL;CONSUMO DE UTILIDADES;0;;500;500;Orçado;500;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.05.002;Analitica;500;Abastecimento geradores;1.08.01;Tecnologia da Informação;500;Orçamento;Não;3.2.2.05.002 - COMBUSTÍVEL;3.2.2.05.002 - 1.08.01;3.2.2.05.002 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;UTILIDADES;CONSUMO DE UTILIDADES;COMBUSTÍVEL;CONSUMO DE UTILIDADES;0;;625,8;625,8;Orçado;625,8;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.05.002;Analitica;625,8;Despesa com combustível;1.08.01;Tecnologia da Informação;625,8;Orçamento;Não;3.2.2.05.002 - COMBUSTÍVEL;3.2.2.05.002 - 1.08.01;3.2.2.05.002 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;MANUTENÇÃO PREDIAL, ELÉTRICA, HIDR, MÁQUINAS, VEÍCULOS;DESPESAS DE BENS E SERVIÇOS;MANUTENÇÃO DE MÁQ. E EQUIP.;DESPESAS DE BENS E SERVIÇOS;0;;1250;1250;Orçado;1250;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.01.015;Analitica;1250;Manutenção sistema de incendio CPD e POP;1.08.01;Tecnologia da Informação;1250;Orçamento;Não;3.2.2.01.015 - MANUTENÇÃO DE MÁQ. E EQUIP.;3.2.2.01.015 - 1.08.01;3.2.2.01.015 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;MANUTENÇÃO PREDIAL, ELÉTRICA, HIDR, MÁQUINAS, VEÍCULOS;DESPESAS DE BENS E SERVIÇOS;MANUTENÇÃO DE MÁQ. E EQUIP.;DESPESAS DE BENS E SERVIÇOS;0;;10000;10000;Orçado;10000;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.01.015;Analitica;10000;Manutenção geradores;1.08.01;Tecnologia da Informação;10000;Orçamento;Não;3.2.2.01.015 - MANUTENÇÃO DE MÁQ. E EQUIP.;3.2.2.01.015 - 1.08.01;3.2.2.01.015 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;LOCAÇÕES DE MÁQUINAS, EQUIPS, VEÍC.;ALUGUEIS E LOCAÇÕES;LOCAÇÃO EQUIPAMENTOS DIVERSOS;ALUGUEIS E LOCAÇÕES;0;;370;370;Orçado;370;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.04.006;Analitica;370;Locação das máquinas de café;1.08.01;Tecnologia da Informação;370;Orçamento;Não;3.2.2.04.006 - LOCAÇÃO EQUIPAMENTOS DIVERSOS;3.2.2.04.006 - 1.08.01;3.2.2.04.006 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;LOCAÇÕES DE MÁQUINAS, EQUIPS, VEÍC.;ALUGUEIS E LOCAÇÕES;LOCAÇÃO DE VEÍCULOS;ALUGUEIS E LOCAÇÕES;0;;2198,79;2198,79;Orçado;2198,79;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.04.008;Analitica;2198,79;Contrato de locação de veículos;1.08.01;Tecnologia da Informação;2198,79;Orçamento;Não;3.2.2.04.008 - LOCAÇÃO DE VEÍCULOS;3.2.2.04.008 - 1.08.01;3.2.2.04.008 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;MANUTENÇÃO PREDIAL, ELÉTRICA, HIDR, MÁQUINAS, VEÍCULOS;DESPESAS DE BENS E SERVIÇOS;MANUTENÇÃO DE VEÍCULOS;DESPESAS DE BENS E SERVIÇOS;0;;260,75;260,75;Orçado;260,75;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.01.014;Analitica;260,75;Serviço de lavagem dos veículos;1.08.01;Tecnologia da Informação;260,75;Orçamento;Não;3.2.2.01.014 - MANUTENÇÃO DE VEÍCULOS;3.2.2.01.014 - 1.08.01;3.2.2.01.014 - 1.08.01 - Cesar;1
Jan;CUSTEIO;Cesar;OUTROS RECEBIMENTOS;OUTROS REEMBOLSOS;REEMB. INTERNET E TELEFONIA;OUTROS REEMBOLSOS;0;;-1818,118848;1818,118848;Orçado;-1818,118848;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;C;3.1.1.08.017;Analitica;-1818,118848;REEMB. INTERNET E TELEFONIA;1.08.01;Tecnologia da Informação;-1818,118848;Orçamento;Não;3.1.1.08.017 - REEMB. INTERNET E TELEFONIA;3.1.1.08.017 - 1.08.01;3.1.1.08.017 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;OUTROS RECEBIMENTOS;OUTROS REEMBOLSOS;LOCAÇÃO DE ÁREAS;OUTROS REEMBOLSOS;0;;-30689,77937;30689,77937;Orçado;-30689,77937;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;C;3.1.1.08.003;Analitica;-30689,77937;LOCAÇÃO DE ÁREAS;1.08.01;Tecnologia da Informação;-30689,77937;Orçamento;Não;3.1.1.08.003 - LOCAÇÃO DE ÁREAS;3.1.1.08.003 - 1.08.01;3.1.1.08.003 - 1.08.01 - Cesar;1
Jan;CUSTEIO;Cesar;UTILIDADES;OUTROS REEMBOLSOS;CONSUMO TELEFONE ASSOCIADOS;OUTROS REEMBOLSOS;0;;-196;196;Orçado;-196;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;C;3.1.1.08.006;Analitica;-196;CONSUMO TELEFONE ASSOCIADOS;1.08.01;Tecnologia da Informação;-196;Orçamento;Não;3.1.1.08.006 - CONSUMO TELEFONE ASSOCIADOS;3.1.1.08.006 - 1.08.01;3.1.1.08.006 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;SERVIÇOS ADMINISTRATIVOS;DESPESAS DE BENS E SERVIÇOS;MANUTENÇÃO APLICATIVOS E SITES;DESPESAS DE BENS E SERVIÇOS;0;;850;850;Orçado;850;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.01.022;Analitica;850;PLATAFORMA MONITORAMENTO REQUISITOS LEGAIS E NORMATIVOS;1.08.01;Tecnologia da Informação;850;Orçamento;Não;3.2.2.01.022 - MANUTENÇÃO APLICATIVOS E SITES;3.2.2.01.022 - 1.08.01;3.2.2.01.022 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;DESPESAS ADMINISTRATIVAS;DESPESAS ADMINISTRATIVAS;MATERIAL DE INFORMÁTICA;DESPESAS ADMINISTRATIVAS;0;;1250;1250;Orçado;1250;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.06.003;Analitica;1250;Aparelhos telefonicos;1.08.01;Tecnologia da Informação;1250;Orçamento;Não;3.2.2.06.003 - MATERIAL DE INFORMÁTICA;3.2.2.06.003 - 1.08.01;3.2.2.06.003 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;DESPESAS ADMINISTRATIVAS;DESPESAS ADMINISTRATIVAS;MATERIAL DE INFORMÁTICA;DESPESAS ADMINISTRATIVAS;0;;833,33;833,33;Orçado;833,33;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.06.003;Analitica;833,33;Peças sobreçalentes computadores;1.08.01;Tecnologia da Informação;833,33;Orçamento;Não;3.2.2.06.003 - MATERIAL DE INFORMÁTICA;3.2.2.06.003 - 1.08.01;3.2.2.06.003 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;DESPESAS ADMINISTRATIVAS;DESPESAS ADMINISTRATIVAS;MATERIAL DE INFORMÁTICA;DESPESAS ADMINISTRATIVAS;0;;259,08;259,08;Orçado;259,08;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.06.003;Analitica;259,08;Suporte para TV Multiarticulado;1.08.01;Tecnologia da Informação;259,08;Orçamento;Não;3.2.2.06.003 - MATERIAL DE INFORMÁTICA;3.2.2.06.003 - 1.08.01;3.2.2.06.003 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;DESPESAS ADMINISTRATIVAS;DESPESAS ADMINISTRATIVAS;MATERIAL DE INFORMÁTICA;DESPESAS ADMINISTRATIVAS;0;;325;325;Orçado;325;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.06.003;Analitica;325;Insumos telefonia;1.08.01;Tecnologia da Informação;325;Orçamento;Não;3.2.2.06.003 - MATERIAL DE INFORMÁTICA;3.2.2.06.003 - 1.08.01;3.2.2.06.003 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;DESPESAS ADMINISTRATIVAS;DESPESAS ADMINISTRATIVAS;MATERIAL DE INFORMÁTICA;DESPESAS ADMINISTRATIVAS;0;;645,21;645,21;Orçado;645,21;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.06.003;Analitica;645,21;CAIXA HERMETICA 30X30;1.08.01;Tecnologia da Informação;645,21;Orçamento;Não;3.2.2.06.003 - MATERIAL DE INFORMÁTICA;3.2.2.06.003 - 1.08.01;3.2.2.06.003 - 1.08.01 - Cesar;0
Jan;CUSTEIO;Cesar;DESPESAS ADMINISTRATIVAS;DESPESAS ADMINISTRATIVAS;MATERIAL DE INFORMÁTICA;DESPESAS ADMINISTRATIVAS;0;;217,5;217,5;Orçado;217,5;0;Orçado;0;1;00:00:00;00:00:00;01/01/2026;D;3.2.2.06.003;Analitica;217,5;CAIXA DE EMENDA AEREA SELADA CABOS DE FIBRA OPTICA 12 A 72 FO;1.08.01;Tecnologia da Informação;217,5;Orçamento;Não;3.2.2.06.003 - MATERIAL DE INFORMÁTICA;3.2.2.06.003 - 1.08.01;3.2.2.06.003 - 1.08.01 - Cesar;0
